name,earthone_link,organisation,title,location,website,instagram_link,linkedin_link,nationality,bio,offer,need,action,guild,earthone_role
Aastha Johri,https://earthone.world/alliance/aastha-johri,Studio Agor,FOUNDER & CREATIVE DIRECTOR,"Jaipur, Rajasthan, India",www.studioagor.com,https://www.instagram.com/aasthajohri_,https://www.linkedin.com/in/aastha-johri-84063596/,Indian,"Aastha Johri is a human- and planet-centered creator from Jaipur, India. She brings a rich background in ecological restoration, community building, cultural conservation, experience design, and creative placemaking.
Her practice is deeply rooted in visual design and storytelling. Her diverse experiences include making films with children and governments, reimagining ancient forts, documenting living ones, and designing exhibitions that celebrate skills and culture. Aastha is also a founding member of Dhun Jaipur, a mixed-use neighborhood focused on lifelong learning and holistic well-being, which has transformed 500-acres of barren land into a thriving bioreserve.
Aastha enjoys honest, raw conversations and is fascinated by the range of human behaviour and experience. She leverages her curiosity, intuition, and strong sense of exploration to appreciate and uplift unfamiliar narratives.","
I add depth, clarity, and beauty to the work of purpose-driven individuals, enabling them to focus on what truly matters. My strengths lie in conceptualization, creative direction, visual design, storytelling, sensemaking and experience design. I find joy in enabling people connect with their most real state of being. I make complex ideas simple and visually engaging. I am a good listener, a go-to fixer, a multi-hyphenate, and most importantly, I am always up for a laugh.","
I seek mentorship in creating inclusive spaces and fostering healthy work cultures within women-led organizations. Additionally, I would benefit from visibility and access to collaborate with people professionally and grow my artistic practice. I seek connections and opportunities with individuals and organisations working in the fields of - Art & Culture, Climate & Future of Living, Regenerative Lifestyle & Experiences, Wildlife & Ecology, Architecture & Design, Social Impact.","
Being.",,
Adena Philips,https://earthone.world/alliance/adena-philips,"Rhizome Partners, Kimu,","CEO, RHIZOME PARTNERS
CONSULTANT AND COACH
FOUNDER, KIMU","brooklyn, Ny and La, California",www.rhizomepartners.co,https://www.instagram.com/adenaphil,https://linkedin.com/adenaphilips,USA,"Adena is an organizational consultant and executive coach based in New York. She's passionate about connecting people and organizations to their purpose, and working with organizations that are in transition and asking big questions. Adena has ~20 years of experience advising organizations across a diverse range of industries and subjects including tech, nuclear fusion, biopharma, psychedelics, climate, philanthropy, government, faith-based institutions, and more. She is also a coach to executives, and spiritual and philanthropic leaders.
Prior to founding Rhizome Partners, Adena worked in the strategy and operations group at Deloitte Consulting.
Adena is on the board of several non-profits in the leadership and policy spaces. She is also a trainer for Resetting the Table, a non-profit organization dedicated to facilitating dialogue across conflict; in particular the Israeli-Palestinian conflict, and Red-Blue Divides.
Through Kimu, Adena creates community events adapting Jewish mysticism for today’s seekers, and braiding ancient wisdom traditions across faith, cultures, and modalities.","
I help companies, organizations, and groups of organizations and stakeholders define and understand their ecosystem, clarify their vision/mission and problem statements, and cultivate aligned leadership and culture. Drawing on decades of work across verticals in the impact ecosystem, I use systems thinking to build approaches and infrastructure to help organizations optimize resources, thrive thrive volatility and change, and amplify sustainable impact.

I also help organizations struggling with political divide navigate complexity and collaborate for impact.

My own passion project is an initiative braiding Jewish and Shipibo ancient wisdom traditions to uncover pathways in community for healing, connection, awareness, and peace.",,,,
Agather Atuhaire,https://earthone.world/alliance/agather-atuhaire,Agora Centre For Research,EXECUTIVE DIRECTOR,"Kampala, Uganda",www.agoraug.org,,,,"Agather Atuhaire is a Ugandan lawyer, journalist and a human rights activist championing justice and accountability through digital activism. Her investigations have exposed high-profile public corruption scandals and human rights violations. Notable among them is the Ugandan parliament’s overspending of public funds, the continued incarceration of the supporters of opposition party the National Unity Platform (NUP), among others. The social media campaigns run by her and her colleagues dubbed “exhibitions” have sparked national conversations and policy changes in many aspects. She is the host of Agora Discourse, a digital public square where topical issues and other issues affecting citizens are discussed. Her work as a journalist has appeared various news outlets and she has also worked as a television news commentator and host.
She is the 2023 laureate of the EU Human Rights Defenders Award and a 2024 laureate of the International Women of Courage Award. Agather also featured in the 2024 TIME 100 NEXT list of top 100 individuals defining the next 100 generation of leadership.","
Empowered citizens through factual, credible information and awakening consciousness leads to an engaged citizenry that holds its leaders accountable and demands for the respect of their rights.","
1. Access; I use digital platforms that are not accessed by about 70% of Uganda's population.
2. Resources; both human and financial to be able to reach every Ugandan.
3. Attacks and threats from the government officials and their agents.","
Help to galvanize resources

Providing fellowships like these and safe places for activists to seek refuge when facing a storm at home.",GOVERNANCE,FELLOW
Aine Corrigan,https://earthone.world/alliance/aine-corrigan,"Earth One, Insider Expeditions, CEO/Co-Founder Follow the White Rabbit Experience",DIRECTOR OF PRODUCTION,"Los Angeles, CA",,https://made_of_star_stuff_/,,USA,"Global Director of Production, Creative Director, Experience Designer. Currently Earth One and Insider Expeditions.","
Creative direction, experience design, production, surrealist experience and aesthetic design.","
sleep, massages, love, fun, connections for global properties to produce experiences!","
Make the world a better place one connection at a time...",,
Alberto Garcia Morales,https://earthone.world/alliance/alberto-garcia-morales,,FOUNDER,Spain / Canarian Islands/ Mallorca / Germany / Stuttgart,www.globalfast.de,,,Spanish,"Business & Transport
Business & Economics
Founder/CEO
Founder","
Human Relationships/ Human Beeing
Leadership + Spirituality together it works better","
Fear of the People / Changing their self for a better / Break Limits etc…","
Building Platforms for world wide access for Human Beeing for Higher Conciousness",,
Alex Bryan Kummerman,https://earthone.world/alliance/alex-bryan-kummerman,"LazyBrain, SGDL Innovation , AKU ventures",MATHEMATICAL PIONEER IN ACCELERATED DISCOVERY SYSTEMS & REGENERATIVE INNOVATION,Switzerland,www.LazyBrain.ai,https://www.instagram.com/kummerman/profilecard/?igsh=MWI3cGNxMmluZXdqcQ==,https://www.linkedin.com/in/kummerman,USA,"Alex Kummerman is a visionary technologist whose work bridges computational innovation, human health, and environmental sustainability. Born in Berkeley, California, and raised in Geneva, Switzerland, his unique background combines Silicon Valley's innovative spirit with European scientific rigor and a deep commitment to advancing both planetary and human wellbeing through technology.
As co-founder of LazyBrain SA, Alex is pioneering new approaches to community building that leverage advanced cognitive science and artificial intelligence to create meaningful connections and catalyze collective innovation. His groundbreaking work in computational geometry, particularly the development of Boustrophedonic Geometry and its applications to Space Filling Curves, provides fundamental mathematical frameworks that enhance pattern recognition across multiple domains - from environmental systems to genomic analysis.
Since 1990, through his role at SGDL Innovation S.A., Alex has built a significant patent portfolio at the intersection of mathematics, health sciences, and environmental systems. His current focus involves applying these innovations, particularly in genomics and health-related applications, to address both human longevity and environmental sustainability. This work represents a unique approach to understanding the deep connections between human health and planetary wellbeing.
His research in Space Filling Curves has opened new pathways for analyzing complex patterns in both environmental and biological systems. These mathematical frameworks have proven particularly valuable in genomic analysis and health applications, offering new approaches to understanding the relationships between environmental factors and human health outcomes. Through LazyBrain SA, he is applying these insights to create AI systems that accelerate serendipitous connections within research communities, fostering innovation in both health sciences and environmental solutions.
Current Focus:
- Advancing applications of mathematical frameworks in genomics and health sciences
- Developing AI systems for health and environmental research acceleration
- Creating technology platforms that bridge human health and ecological wellbeing
- Leveraging patent portfolio for breakthrough applications in longevity science
- Integrating health innovation with environmental sustainability
Areas of Expertise:
- Computational Geometry for Genomic and Environmental Applications
- AI-Powered Research Acceleration
- Complex Systems Analysis in Health and Environment
- Mathematical Modeling for Biological Systems
- Sustainable Technology Innovation
- Longevity Science Applications
Recent Contributions:
- Co-development of Boustrophedonic Geometry with applications in genomic analysis
- Pioneering work in AI-powered serendipity acceleration for research communities
- Novel applications of Space Filling Curves to biological pattern recognition
- Innovation in sustainable health technology development
Alex's vision centers on the fundamental connection between human health and environmental wellbeing. His work demonstrates how advanced mathematical systems can be applied to both extend human healthspan and protect our planet's ecosystems. Through his innovative approach to pattern recognition and analysis, he is helping to reveal the deep interconnections between personal and planetary health, while developing technologies that serve both purposes.
His unique combination of mathematical innovation, focus on human health, and commitment to environmental sustainability makes him a valuable voice in discussions about our collective future. Alex's work exemplifies how advanced technology can be harnessed to address both immediate health challenges and long-term environmental concerns, creating solutions that benefit both human longevity and planetary wellbeing.","
Theory of Change:
• Transformative innovation emerges at the intersection of mathematical precision and engineered serendipity
• Complex challenges in health and environment require both rigorous systems thinking and enhanced pattern recognition
• AI can be designed to accelerate meaningful discoveries in both human health and environmental systems
• Sustainable change happens when we understand the deep patterns connecting human and planetary wellbeing

Unique Skills/Experience:
• Pioneer in Boustrophedonic Geometry - developed mathematical frameworks that reveal hidden patterns in both biological and environmental systems
• Creator of AI-powered serendipity systems - designed frameworks that accelerate breakthrough discoveries in health sciences and environmental research
• Deep expertise in applying Space Filling Curves to genomic analysis and complex pattern recognition
• 30+ years of experience transforming theoretical mathematics into practical tools for health and environmental impact
• Unique ability to bridge computational innovation, human health, and ecological systems

What Communities Can Learn:
• How to harness AI to uncover unexpected connections between human and planetary health
• Methods for accelerating discovery in both health sciences and environmental solutions
• Ways to use pattern recognition to understand complex biological and ecological systems
• Strategies for creating environments where breakthrough innovations naturally emerge
• Techniques for balancing rigorous science with creative exploration
• Approaches to combining health innovation with environmental stewardship

Unique Perspective:
I've dedicated my career to developing mathematical systems that help us understand the deep patterns connecting human health and environmental wellbeing. By combining advanced computational frameworks with engineered serendipity, we can accelerate discoveries that benefit both human longevity and planetary health. My work demonstrates that the most powerful innovations emerge when we create spaces where structured mathematical thinking meets unexpected connection - and I believe this approach is crucial for addressing our most complex challenges.

Key Message:
The challenges we face in both human health and environmental sustainability require a new way of seeing patterns and connections. I've developed frameworks that reveal these hidden relationships - helping communities leverage AI and advanced mathematics to accelerate breakthroughs while strengthening rather than replacing human insight. This dual approach of rigorous systems combined with engineered serendipity is essential for catalyzing the innovations we need for both human and planetary wellbeing.","
Core Need:
To accelerate breakthrough discoveries that address the intertwined challenges of human longevity and planetary health before we reach critical tipping points in both systems.

The Urgency:

1. The Pattern Recognition Gap
• We're missing crucial connections between human health and environmental systems
• Traditional research methods are too slow for the pace of current challenges
• Valuable patterns in genomic and environmental data remain hidden
• The volume of scientific data exceeds human capacity for analysis

2. The Innovation Timeline Challenge
• Breakthrough discoveries in health and environmental science typically take decades
• Climate change and health challenges are accelerating faster than solutions
• Current research methodologies can't keep pace with emerging threats
• We need to dramatically accelerate the discovery process

3. The Integration Imperative
• Human health and environmental wellbeing are inextricably linked
• Solutions must address both individual and planetary health
• We need frameworks that reveal these interconnections
• Current siloed approaches miss critical relationships

4. The Human Element
• Technology must enhance rather than replace human insight
• We need to preserve the ""magic"" of discovery while accelerating its pace
• Communities need tools that foster connection and collaboration
• Innovation must emerge from collective intelligence

Path Forward:
Success requires what I call ""enlightened acceleration"" - systems that:
• Reveal hidden patterns across biological and environmental domains
• Enable breakthrough discoveries that serve both human and planetary health
• Create spaces where unexpected connections emerge naturally
• Foster collaborative innovation at unprecedented scales

Critical Elements:
• Maintaining human insight while harnessing AI's pattern-recognition power
• Building frameworks that respect both scientific rigor and creative discovery
• Creating technology that becomes more insightful as it becomes more powerful
• Ensuring innovations serve both human longevity and environmental sustainability

Vision of Impact:
When we succeed, we'll have:
• Accelerated discovery of crucial health and environmental solutions
• Revealed deep patterns connecting human and planetary wellbeing
• Created sustainable frameworks for continuous innovation
• Built communities capable of addressing complex systemic challenges
• Developed technologies that enhance rather than replace human capacity

This represents humanity's opportunity to:
• Transform how we discover and develop solutions
• Bridge the gap between human and environmental health
• Create frameworks for sustainable innovation
• Build resilient systems for both people and planet
• Accelerate positive change before we reach critical tipping points

The commercialization potential of our patent portfolio becomes not the primary goal, but a natural outcome of creating systems that genuinely serve humanity's most pressing needs. Our focus must remain on accelerating the discoveries that will ensure both human and planetary wellbeing for generations to come.","
Join me in building a new model for accelerated discovery that serves both human and planetary wellbeing. 

What We Need to Create Together:

1. A Global Innovation Observatory
• Help establish a network of interconnected communities using AI-powered serendipity acceleration
• Create spaces where breakthrough discoveries in health and environmental sciences can emerge naturally
• Build bridges between different disciplines, cultures, and ways of knowing
• Foster unexpected connections that lead to transformative solutions

2. What I'm Seeking:
• Pioneering communities willing to implement and test serendipity acceleration systems
• Partners who understand both the science and the ""magic"" of innovation
• Collaborators who can help translate complex patterns into actionable insights
• Voices that can amplify the message of integrated human and planetary health

3. How Earth One Can Help:
• Share your networks and influence to create testing grounds for these systems
• Contribute your unique perspectives on combining technology with human wisdom
• Help identify critical areas where accelerated discovery is most needed
• Join in building a movement that values both scientific rigor and human connection

Together, we can:
• Accelerate the discovery of solutions that serve both people and planet
• Create a new model for innovation that preserves human connection
• Build frameworks that reveal the deep patterns connecting all life
• Demonstrate how technology can enhance rather than replace human wisdom
• Generate hope through tangible progress on our most pressing challenges

The time for this work is now. We have the mathematical frameworks, the technological capabilities, and the urgent need. What we require is the right community of pioneers to help implement and scale these solutions.

Will you join me in building this bridge to our collective future?",,
Alexa Rosenthal,https://earthone.world/alliance/alexa-rosenthal,,,,,https://www.instagram.com/lex.rosenthal/,https://www.linkedin.com/search/results/all/?fetchDeterministicClustersOnly=true&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABsu3lkBqvjenDXiRMWHUgjoWJrZ5y0E9kc&keywords=alexa%20rosenthal&origin=RICH_QUERY_SUGGESTION&position=0&searchId=a44fe413-94c3-42dd-ab8e-8657818b9f65&sid=mAR&spellCorrectionEnabled=false,United States of America,,,,"
Ecoversity's mission is to reshape global education by accelerating regenerative learning. We're seeking collaborators, investors, and talent to scale this vision. I’m eager to brainstorm with brilliant minds on this journey, exploring what education at scale with real-world impact can truly look like.",RESILIENCE,FELLOW
Alexander Winter,https://earthone.world/alliance/alexander-winter,"MetaTree, Orbital Alchemy, House of 42","PHILOSOPHER, ORBITAL ALCHEMIST","Miami Beach, FL, USA",,https://www.instagram.com/theylos,https://www.linkedin.com/in/alexanderwinter,USA,"Alexander is the creator of MetaTree, a philosophy of harmonic alignment across scales, with its physical expression in a regenesis land project and retreat in the Mayacamas Mountains, Sonoma, California.
As an applied philosopher, Alexander explores the nature of reality and civilizational design. His background includes a degree in Media Arts from California College of the Arts and video work at Airbnb. He co-founded Asterisk San Francisco, an arts, culture, and lifestyle print magazine that evolved into The New Asterisk, distributed in 12 countries. He also holds a Master’s degree in Philosophy, Cosmology, and Consciousness from the California Institute of Integral Studies, with a focus on Reality Construction.
A trained spaceholder and medicine server, Alexander is a founding member of House of 42, a faith-based organization that helps individuals and groups, both those healing from trauma and well individuals, move into sovereignty and personal betterment through a proprietary strain of mushroom medicine, protected under the Religious Freedom Restoration Act.
Alexander coaches founders and creators, weaving and nourishing regenerative ecosystems with consciousness tools, teachings, and by fostering meaningful connections and backing brilliant founders who are helping us transition to a regenerative way of being.
A guiding light for Alexander is an inquiry into the dynamics of consciousness and the creation of a new civilization on planet Earth and beyond.","
For years, I have been slowly shaping the philosophy of MetaTree, at the core of which we find harmonic alignment across scales within which interconnect branching pathways of possibility and structure. MetaTree is an applied and lived philosophy of consciousness, going back to the true origins of philosophy as the love of wisdom and an inquiry into the nature of reality, something alive and vibrant, embodied and felt, relevant to our everyday lives. 

This is why the physical manifestation of this philosophy is a regenesis land project and retreat in Sonoma, California, to implement these inquiries and insights and ground it onto the physical plane. Additionally, I am a weaver, connecting with individuals and networks, making connections, and supporting those who serve with integrity and from the heart. I do this through spaceholding in a coaching capacity, as a medicine server, and through investment. 

In such inquiry, we can discover the necessary tools for our time and I share these tools freely in support of regenerative ecosystems, with a larger vision to seed a new civilization.","
My main need is help with the implementation of MetaTree in its various layers, from the physical structures to the operating system. I’m also looking for other civilizational weavers.

My other need is around structuring my internal ecosystem of ecosystems and leaders, to allow me to scale my offerings to serve more people effectively, as my capacities are currently limited and I have not yet found the ideal way to structure everything on the back end, so in this sense I need help with the foundational structures of my ecosystem and brand, which I have been mostly operating myself.","
Help me create and share the consciousness tools and technologies that empower individuals and communities and enable us to create a MetaTree as an attunement to a harmonic alignment across scales of existence, in sincerity, play and joy.",,
Alexandra Maria Azevedo,https://earthone.world/alliance/alexandra-maria-azevedo,,"MASTER OF SCIENCE IN MARINE BIOLOGY, LECTURER AT THE OPEN UNIVERSITY OF MAURITIUS, SEAFOOD MARKET TRANSFORMATION OFFICER AT WWF","Cape Town, South Africa",,https://www.instagram.com/alexandramariaazevedo/,https://www.linkedin.com/in/azevedo-alexandramaria/,,"Alexandra is an earth and marine scientist, passionate about conservation of biodiversity and protection of species of high biological importance. She has worked on shark and ray conservation, working at WWF South Africa in sustainable consumption and is a lecturer at the Open University of Mauritius on the sustainable management of the blue economy. Her work has landed her in Antarctica for a summer season to explore the interconnectivity between our ocean and climate change.","
My theory of change is inspiring the public to take on ocean action. This is done first by generating awareness through campaigns and storytelling -> engaging and empowering youth and communities -> generation of citizen advocates who help elect environmentally conscious representatives -> then there is a protection of our resources. The overarching goal of this is to develop a shared responsibility for ocean and human health for the benefit of current and future generations.","
The biggest challenges I face in my work is funding, capacity + time and I need to collaborate with individuals that have a different expertise than I do to help make my work more impactful.","
My biggest CTA from the Earth One Community is to be allies to the work I'm trying to achieve and to provide mentorship on my career journey. I hope to gain meaningful relationships and collaborate with others on projects to protect species.",OCEAN,FELLOW
Alexandra Pimor,https://earthone.world/alliance/alexandra-pimor,Earth Law Center (Nature Governance Agency branch),DIRECTOR OF NATURE GOVERNANCE,Paris/France,https://www.naturegovernance.org/,https://www.instagram.com/ally_dandelion/profilecard/?igsh=MW9nemx5cnhzY255Zg==,https://www.linkedin.com/in/apimor,French,"Alexandra leads the Onboarding Nature project within the Earth Law Center, through the Nature Governance Agency. Onboarding Nature is a pioneering endeavour to expand the scope of Nature's Rights, Voice, Vote and Way across governance systems, corporate boards, and any decision-making body. The aim is to foster a global Earth-based/Nature-conscious governance and leadership praxis. The NGA team also supports the co-development of Nature proxies through the Dandelion Fellowship journey (a program for human beings stepping in as representatives of Nature in organizations). Ally first served as a proxy for ""Nature as Director"" on the board of British eco-product company Faith in Nature. She continues to serve as an agent of the Voice, Vote and Way of Nature within diverse organizations and businesses.
Ally is a published legal scholar, with over 20 years’ experience in pedagogical engineering and senior law lecture in HE (UK); a certified Advanced Scrum Master, professional agile & systems facilitator, and Nature Process coach.
Besides her role at ELC, she is also a trustee at RiseUp CIO; an executive member of the Spirituality Scholars Network (SSN-INSS); a professional volunteer at Notre Affaire à Tous (and contributor to “Les Droits de la Nature”); and at Rights & Humanity (International).","
I believe that we create the reality we experience, and that we are alive for the sole purpose of experiencing a beautiful life and world. For these times, I also believe that our mission is to rekindle with the Art of Living joyfully and beautifully, and this requires beautiful sensing, being, thinking and acting. My motto is ‘eunoia through metanoia’. Therefore, I endeavour to cultivate conscious and heart-centred living for the common good. My approach is quantum-based, systemic, integral and holistic, and is embedded in the practice of a psychology of consciousness for ethical decision-making, and aligned being & becoming, behaving, culture and practice. My baseline is the Buddhist 8-fold path: right view, right aspiration, right speech, right action, right livelihood, right effort, right mindfulness, right concentration.
I have been learning and teaching myself this philosophy of life, and practising this theory of change, from as long as I can remember – seeking excellence over the course of my holistic life through the intellectual, psychological, emotional and academic stretching of the whole mind (brain, body and soul). 
My aim is to be of service. I am pretty agile in thinking, be/coming and doing, and I can adjust to the needs of the community. I do not know what the community can learn from me, but I can most heartfully teach what I know about holding space for conscious dreaming, visioning and alignment.","
(Please refer to the Call to Action as well - read together)
Bluntly, the biggest challenge at this stage is financial. The sacred work we do needs fertilising and a caretaking by the wealth gardeners. 

We need resources - logistical, meshworking and more team members (hands on deck); and particularly, we need time and space to do the deep work with clients, within our own organisation, as well as in research, training, and framework development; for evidenced-based proof of concept and handprint reporting. 

Our NGA team has been operating on a pro and low bono basis for the past 12 months. Within that timeframe, we have been powered by our vision, and spared no effort, time and energy to accomplish a lot, including onboarding Nature in several organisations.
Our main challenge is therefore one of providing for our need to be economically held and supported, so that we can continue with our sacred work.","
Together, our team of 3 women works for systemic change, and this requires systemic abilities. Our approach is therefore multilayered, and we cover the following dimensions - which are both objectives and challenges:
a) consciousness: promoting consciousness shift through training, development & educational programs;
b) behavioral: concrete collaborations for transformational impact, with a wide range of organisations, corporations and business. These could be clients, partners and collaborators, including those that are showing the most reticence/resistance to meaningful and deep systemic change (especially if they inflict the most damage on the Earth);
c) cultural: demonstrating the business case that doing good is good both for prosperity and for the Earth. So we promote the 5 Ps: Peace practice for Peoples, Planet, Prosperity and Purpose. The aim here is to cultivate a unified consciousness so that business decisions are made within a Nature-conscious paradigm that is life enhancing (as opposed to the separation paradigm of human vs Nature);
d) systemic: our aim to support economic, social, political, health, education and more systems function within a Nature-conscious paradigm, as part of a whole interconnected organism for the benefits of the Earth community. We therefore promote the rights and voice of Nature for an ecocentric planetary system. 

So, our CTA is as follows: 
- Onboard: Join the community of practice to onboard Nature
- Govern: Cultivate Nature-conscious governance for a regenerative future
- Lead: Practice Nature-conscious leadership to navigate these transformational times
- Invest: Nurture heaven on earth, and join forces with us to make the dream of the Earth a reality. Become a conscious gardener, gift your talent, service and regenerosity",GOVERNANCE,STEWARD
